label,source,snippet,status
reporting mean std convention,reporting convention,mean $\pm$ standard deviation,PASS
reporting bootstrap convention,reporting convention,"10{,}000 bootstrap resamples",PASS
reporting descriptive intervals,reporting convention,descriptive uncertainty summaries,PASS
reporting full curve metrics,reporting convention,full-curve learning-efficiency,PASS
reporting auc metric,reporting convention,sampled-return AUC,PASS
reporting threshold metric,reporting convention,first episode at which each method reaches sampled return 1.5,PASS
query budget script,query_budget.csv,code/results/query\_budget.csv,PASS
data budget script,data_budget.csv,code/results/data\_budget.csv,PASS
data budget analyzer,data_budget.csv,analyze\_data\_budget.py,PASS
data budget critic fit caveat,data_budget.csv,auxiliary critic-fit data budget,PASS
query delayed acct queries,query budget reporting,41 critic/reward-model queries,PASS
query delayed acct transport,query budget reporting,60 transport-weight entries,PASS
query delayed shapley queries,query budget reporting,upper bound of 336 queries,PASS
query pair acct queries,query budget reporting,49 critic/reward-model queries,PASS
query pair acct transport,query budget reporting,84 transport-weight entries,PASS
query pair shapley queries,query budget reporting,upper bound of 400 queries,PASS
query fairness conclusion,query budget reporting,not obtained by giving \acct{} a larger counterfactual query budget,PASS
artifact verified zip or final url status,experimental protocol,verified local ZIP rather than a public anonymous repository || The code artifact is available for anonymous review at,PASS
artifact final url replacement state,experimental protocol,replace this sentence with the review URL || The code and data are available at,PASS
checklist public url state,experimental protocol,does not yet provide a public anonymous repository URL || The code and data are available at,PASS
artifact local package status,experimental protocol,identity-scrubbed local artifact package,PASS
artifact anonymous upload status,experimental protocol,anonymous review URL,PASS
checklist llm methodology status,experimental protocol,"No methodologically important, original, or non-standard LLM or agent component",PASS
checklist llm audit status,experimental protocol,"all claims, citations, and numerical results are checked against the manuscript and artifact audits",PASS
objective status not return equivalent,experimental protocol,training-credit transformation rather than a return-equivalent reward-redistribution method,PASS
objective status credit sum,experimental protocol,not constrained to sum to the environment return,PASS
objective status not unbiased,experimental protocol,not generally an unbiased policy-gradient advantage,PASS
objective status policy preservation,experimental protocol,rather than a universal policy-preservation theorem,PASS
transport scale invariance,experimental protocol,Transport-scale invariance,PASS
transport scale component caveat,experimental protocol,This proposition concerns $C^{\mathrm{tr}}$ only,PASS
transport full credit scale caveat,experimental protocol,full \acct{} credit remains scale-sensitive,PASS
transport learned calibration boundary,experimental protocol,raw agent-time CF directly inherits the learned head's magnitude calibration,PASS
evidence scope map,experimental protocol,Evidence-scope map,PASS
evidence mechanistic claim,experimental protocol,The headline empirical claim is mechanistic,PASS
evidence perturbation scope,experimental protocol,Influence perturbation diagnostics,PASS
evidence local unsupported,experimental protocol,Performance dominance on high-dimensional MARL benchmarks,PASS
evidence mpe unsupported,experimental protocol,A reliable performance advantage over MAPPO,PASS
evidence independent reproduction unsupported,experimental protocol,Independent third-party reproduction,PASS
positioning appendix,experimental protocol,Positioning Against Agent-Temporal Credit Methods,PASS
positioning table,experimental protocol,Positioning of \acct{} relative to closely related temporal and agent-temporal credit-assignment methods,PASS
positioning maca related,experimental protocol,multi-level coordination credit on StarCraft tasks,PASS
positioning maca boundary,experimental protocol,coalition-level spatial credit across agent subsets,PASS
positioning tar2 shaping,experimental protocol,potential-based shaping connection,PASS
positioning tar2 benchmarks,experimental protocol,SMACLite and Google Research Football,PASS
positioning cast,experimental protocol,CAST imposes causal structure,PASS
